// 2018
// socialedienst maastricht

jan  693,06 (2018-01-19)
feb  697,02 (2018-02-20)
mrt  697,02 (2018-03-20)
apr  697,02 (2018-04-20)
may  697,02 (2018-05-21)
jun  697,02 (2018-06-20)
jul  697,02 (2018-07-20)
aug  700,16 (2018-08-20)
sep  700,16 (2018-09-20)
okt  700,16 (2018-10-19)
nov  700,16 (2018-11-20)
dec  700,16 (2018-12-20)

------------------------
// 2018
// huurtoeslag

jan    0,00 (2018-01-20)
feb    0,00 (2018-02-20)
mrt    0,00 (2018-03-20)
apr    0,00 (2018-04-20)
may    0,00 (2018-05-20)
jun    0,00 (2018-06-20)
jul    0,00 (2018-07-20)
aug    0,00 (2018-08-20)
sep    0,00 (2018-09-20)
okt    0,00 (2018-10-20)
nov    0,00 (2018-11-20)
dec    0,00 (2018-12-20)

------------------------
// 2018
// zorgtoeslag

jan    0,00 (2018-01-20)
feb    0,00 (2018-02-20)
mrt    0,00 (2018-03-20)
apr    0,00 (2018-04-20)
may    0,00 (2018-05-20)
jun    0,00 (2018-06-20)
jul    0,00 (2018-07-20)
aug    0,00 (2018-08-20)
sept   0,00 (2018-09-20)
okt    0,00 (2018-10-20)
nov    0,00 (2018-11-20)
dec    0,00 (2018-12-20)
